frame,cycle,phase,plt_x,plt_y,cam_x,cam_y,cam_w,cam_h,mic_x,mic_y,mic_w,mic_h,wrm_x,wrm_y,wrm_w,wrm_h
0,0,imaging,0,2400,0,2400,360,360,170,2570,20,20,329.9577331542969,2400.007374011446,18.703765869140625,6.404137134552002
1,0,imaging,0,2400,0,2400,360,360,170,2570,20,20,329.9577331542969,2400.007374011446,18.703765869140625,6.404137134552002
2,0,imaging,0,2400,0,2400,360,360,170,2570,20,20,329.9577331542969,2400.007374011446,18.703765869140625,6.404137134552002
3,0,imaging,0,2400,0,2400,360,360,170,2570,20,20,329.9577331542969,2400.007374011446,18.703765869140625,6.404137134552002
4,0,imaging,0,2400,0,2400,360,360,170,2570,20,20,329.9577331542969,2400.007374011446,18.703765869140625,6.404137134552002
5,0,imaging,0,2400,0,2400,360,360,170,2570,20,20,329.9577331542969,2400.007374011446,18.703765869140625,6.404137134552002
6,0,imaging,0,2400,0,2400,360,360,170,2570,20,20,329.9577331542969,2400.007374011446,18.703765869140625,6.404137134552002
7,0,imaging,0,2400,0,2400,360,360,170,2570,20,20,329.9577331542969,2400.007374011446,18.703765869140625,6.404137134552002
8,0,imaging,0,2400,0,2400,360,360,170,2570,20,20,329.9577331542969,2400.007374011446,18.703765869140625,6.404137134552002
9,0,imaging,0,2400,0,2400,360,360,170,2570,20,20,329.9577331542969,2400.007374011446,18.703765869140625,6.404137134552002
10,0,imaging,0,2400,0,2400,360,360,170,2570,20,20,329.9577331542969,2400.007374011446,18.703765869140625,6.404137134552002
11,0,imaging,0,2400,0,2400,360,360,170,2570,20,20,329.9577331542969,2400.007374011446,18.703765869140625,6.404137134552002
12,0,imaging,0,2400,0,2400,360,360,170,2570,20,20,329.9577331542969,2400.007374011446,18.703765869140625,6.404137134552002
13,0,moving,159,2223,159,2223,360,360,329,2393,20,20,347.1306457519531,2342.2693939208984,24.9671630859375,13.75140380859375
14,0,moving,159,2223,159,2223,360,360,329,2393,20,20,347.1306457519531,2342.2693939208984,24.9671630859375,13.75140380859375
15,1,imaging,159,2223,159,2223,360,360,329,2393,20,20,347.1306457519531,2342.2693939208984,24.9671630859375,13.75140380859375
16,1,imaging,159,2223,159,2223,360,360,329,2393,20,20,347.1306457519531,2342.2693939208984,24.9671630859375,13.75140380859375
17,1,imaging,159,2223,159,2223,360,360,329,2393,20,20,347.1306457519531,2342.2693939208984,24.9671630859375,13.75140380859375
18,1,imaging,159,2223,159,2223,360,360,329,2393,20,20,347.1306457519531,2342.2693939208984,24.9671630859375,13.75140380859375
19,1,imaging,159,2223,159,2223,360,360,329,2393,20,20,347.1306457519531,2342.2693939208984,24.9671630859375,13.75140380859375
20,1,imaging,159,2223,159,2223,360,360,329,2393,20,20,347.1306457519531,2342.2693939208984,24.9671630859375,13.75140380859375
21,1,imaging,159,2223,159,2223,360,360,329,2393,20,20,347.1306457519531,2342.2693939208984,24.9671630859375,13.75140380859375
22,1,imaging,159,2223,159,2223,360,360,329,2393,20,20,347.1306457519531,2342.2693939208984,24.9671630859375,13.75140380859375
23,1,imaging,159,2223,159,2223,360,360,329,2393,20,20,347.1306457519531,2342.2693939208984,24.9671630859375,13.75140380859375
24,1,imaging,159,2223,159,2223,360,360,329,2393,20,20,347.1306457519531,2342.2693939208984,24.9671630859375,13.75140380859375
25,1,imaging,159,2223,159,2223,360,360,329,2393,20,20,347.1306457519531,2342.2693939208984,24.9671630859375,13.75140380859375
26,1,imaging,159,2223,159,2223,360,360,329,2393,20,20,347.1306457519531,2342.2693939208984,24.9671630859375,13.75140380859375
27,1,imaging,159,2223,159,2223,360,360,329,2393,20,20,347.1306457519531,2342.2693939208984,24.9671630859375,13.75140380859375
28,1,moving,180,2169,180,2169,360,360,350,2339,20,20,347.0932159423828,2342.1925048828125,24.355697631835938,12.859024047851562
29,1,moving,180,2169,180,2169,360,360,350,2339,20,20,347.0932159423828,2342.1925048828125,24.355697631835938,12.859024047851562
30,2,imaging,180,2169,180,2169,360,360,350,2339,20,20,347.0932159423828,2342.1925048828125,24.355697631835938,12.859024047851562
31,2,imaging,180,2169,180,2169,360,360,350,2339,20,20,347.0932159423828,2342.1925048828125,24.355697631835938,12.859024047851562
32,2,imaging,180,2169,180,2169,360,360,350,2339,20,20,347.0932159423828,2342.1925048828125,24.355697631835938,12.859024047851562
33,2,imaging,180,2169,180,2169,360,360,350,2339,20,20,347.0932159423828,2342.1925048828125,24.355697631835938,12.859024047851562
34,2,imaging,180,2169,180,2169,360,360,350,2339,20,20,347.0932159423828,2342.1925048828125,24.355697631835938,12.859024047851562
35,2,imaging,180,2169,180,2169,360,360,350,2339,20,20,347.0932159423828,2342.1925048828125,24.355697631835938,12.859024047851562
36,2,imaging,180,2169,180,2169,360,360,350,2339,20,20,347.0932159423828,2342.1925048828125,24.355697631835938,12.859024047851562
37,2,imaging,180,2169,180,2169,360,360,350,2339,20,20,347.0932159423828,2342.1925048828125,24.355697631835938,12.859024047851562
38,2,imaging,180,2169,180,2169,360,360,350,2339,20,20,347.0932159423828,2342.1925048828125,24.355697631835938,12.859024047851562
39,2,imaging,180,2169,180,2169,360,360,350,2339,20,20,347.0932159423828,2342.1925048828125,24.355697631835938,12.859024047851562
40,2,imaging,180,2169,180,2169,360,360,350,2339,20,20,347.0932159423828,2342.1925048828125,24.355697631835938,12.859024047851562
41,2,imaging,180,2169,180,2169,360,360,350,2339,20,20,347.0932159423828,2342.1925048828125,24.355697631835938,12.859024047851562
42,2,imaging,180,2169,180,2169,360,360,350,2339,20,20,347.0932159423828,2342.1925048828125,24.355697631835938,12.859024047851562
43,2,moving,179,2169,179,2169,360,360,349,2339,20,20,346.99647521972656,2342.3626861572266,24.78916931152344,12.736541748046877
44,2,moving,179,2169,179,2169,360,360,349,2339,20,20,346.99647521972656,2342.3626861572266,24.78916931152344,12.736541748046877
45,3,imaging,179,2169,179,2169,360,360,349,2339,20,20,346.99647521972656,2342.3626861572266,24.78916931152344,12.736541748046877
46,3,imaging,179,2169,179,2169,360,360,349,2339,20,20,346.99647521972656,2342.3626861572266,24.78916931152344,12.736541748046877
47,3,imaging,179,2169,179,2169,360,360,349,2339,20,20,346.99647521972656,2342.3626861572266,24.78916931152344,12.736541748046877
48,3,imaging,179,2169,179,2169,360,360,349,2339,20,20,346.99647521972656,2342.3626861572266,24.78916931152344,12.736541748046877
49,3,imaging,179,2169,179,2169,360,360,349,2339,20,20,346.99647521972656,2342.3626861572266,24.78916931152344,12.736541748046877
50,3,imaging,179,2169,179,2169,360,360,349,2339,20,20,346.99647521972656,2342.3626861572266,24.78916931152344,12.736541748046877
51,3,imaging,179,2169,179,2169,360,360,349,2339,20,20,346.99647521972656,2342.3626861572266,24.78916931152344,12.736541748046877
52,3,imaging,179,2169,179,2169,360,360,349,2339,20,20,346.99647521972656,2342.3626861572266,24.78916931152344,12.736541748046877
53,3,imaging,179,2169,179,2169,360,360,349,2339,20,20,346.99647521972656,2342.3626861572266,24.78916931152344,12.736541748046877
54,3,imaging,179,2169,179,2169,360,360,349,2339,20,20,346.99647521972656,2342.3626861572266,24.78916931152344,12.736541748046877
55,3,imaging,179,2169,179,2169,360,360,349,2339,20,20,346.99647521972656,2342.3626861572266,24.78916931152344,12.736541748046877
